subject_id,course_id,displayorder
Expected Records,386,0
900,160,22
900,700,16
900,1001,24
900,1153,12
900,1190,11
900,1280,5
900,1324,30
900,1406,9
900,1651,17
900,1730,25
900,1810,8
900,1884,32
900,1933,1
900,1950,15
900,1960,6
900,1986,34
900,2133,26
900,2154,19
900,2368,27
900,3231,18
900,3810,10
900,3850,23
900,3890,31
900,5630,3
900,5724,4
900,6433,33
900,7330,21
900,7640,13
900,7901,2
900,8500,35
900,8580,28
900,8588,29
900,9231,7
900,9331,14
900,9344,20
901,177,24
901,550,6
901,1050,17
901,1406,13
901,1411,16
901,1426,12
901,1474,27
901,1487,25
901,1585,32
901,1651,9
901,1846,31
901,1933,28
901,1950,22
901,2031,15
901,2044,29
901,2133,19
901,2368,10
901,4294,8
901,5181,14
901,5511,3
901,5610,30
901,5620,18
901,5630,4
901,5657,20
901,5665,11
901,5724,2
901,5892,34
901,5913,23
901,5932,1
901,5943,26
901,5964,5
901,7261,33
901,9123,21
901,9331,7
901,9344,35
902,105,10
902,131,13
902,132,12
902,160,20
902,177,11
902,370,30
902,1001,4
902,1002,6
902,1005,5
902,1007,2
902,1012,9
902,1014,7
902,1050,1
902,1240,35
902,1280,34
902,1406,3
902,1411,14
902,1452,16
902,1456,29
902,1474,24
902,1483,25
902,1487,18
902,1651,8
902,1700,33
902,1846,21
902,1884,22
902,2031,17
902,2133,23
902,2368,15
902,4294,26
902,5511,31
902,5724,28
902,5932,27
902,8500,32
902,9331,19
904,158,24
904,177,29
904,656,27
904,700,1
904,728,11
904,740,19
904,1406,21
904,1411,13
904,1651,17
904,1950,25
904,2133,31
904,2368,9
904,3231,26
904,4200,23
904,5932,35
904,6299,12
904,7100,7
904,7111,10
904,7126,6
904,7130,22
904,7140,20
904,7150,28
904,7158,14
904,7170,30
904,7180,18
904,7261,3
904,7330,5
904,7510,16
904,7544,32
904,7640,4
904,7868,8
904,7901,2
904,9123,15
904,9231,34
904,9331,33
905,177,23
905,237,14
905,243,17
905,250,24
905,280,33
905,437,29
905,656,28
905,1050,10
905,1406,13
905,1411,6
905,1426,32
905,1474,35
905,1600,5
905,1651,7
905,1846,26
905,1933,27
905,1950,21
905,2031,12
905,2044,16
905,2100,34
905,2133,2
905,2140,22
905,2154,3
905,2198,4
905,2212,15
905,2250,25
905,2270,18
905,2368,1
905,4294,9
905,5511,31
905,5932,11
905,5964,30
905,7261,20
905,9123,19
905,9331,8
907,153,29
907,177,20
907,370,3
907,437,12
907,470,6
907,656,33
907,660,28
907,1050,25
907,1406,19
907,1411,13
907,1426,26
907,1651,11
907,1933,23
907,1950,30
907,2031,27
907,2133,18
907,2368,4
907,3890,15
907,4200,1
907,4278,24
907,4294,2
907,4320,5
907,4360,8
907,4600,17
907,4610,22
907,4620,9
907,4647,32
907,4790,14
907,4855,16
907,4878,31
907,5932,7
907,6100,21
907,7100,35
907,9123,34
907,9331,10
909,177,30
909,297,11
909,370,18
909,611,20
909,643,23
909,653,2
909,656,1
909,687,7
909,885,31
909,1050,29
909,1406,12
909,1411,14
909,1651,9
909,1846,21
909,1884,22
909,1933,27
909,1950,15
909,2031,35
909,2368,13
909,4200,32
909,5932,33
909,6100,3
909,6220,8
909,6299,5
909,6362,6
909,6433,26
909,6450,24
909,6457,34
909,6577,10
909,6593,4
909,6640,17
909,6810,16
909,7175,25
909,9123,19
909,9331,28
910,153,29
910,177,5
910,370,20
910,700,18
910,1050,19
910,1100,14
910,1190,6
910,1240,8
910,1324,24
910,1391,32
910,1406,1
910,1411,3
910,1426,9
910,1452,17
910,1456,31
910,1474,11
910,1487,7
910,1500,30
910,1540,12
910,1651,4
910,1730,13
910,1750,28
910,1810,25
910,1816,22
910,1846,2
910,1852,10
910,2133,33
910,2368,15
910,4294,23
910,5511,35
910,5932,21
910,6100,26
910,7100,34
910,8500,16
910,9331,27
918,160,27
918,340,32
918,350,6
918,370,1
918,700,33
918,807,12
918,810,15
918,869,26
918,1411,34
918,1651,36
918,3174,20
918,3430,16
918,3650,28
918,3810,2
918,3850,14
918,3870,30
918,3890,3
918,3910,8
918,3970,22
918,8050,35
918,8210,25
918,8215,29
918,8267,24
918,8280,10
918,8370,13
918,8410,18
918,8470,7
918,8480,17
918,8500,4
918,8510,21
918,8514,31
918,8557,19
918,8580,11
918,8588,9
918,8922,23
918,9422,5
926,177,26
926,437,35
926,656,25
926,805,34
926,1050,13
926,1406,12
926,1411,15
926,1426,17
926,1474,28
926,1487,30
926,1585,29
926,1651,9
926,1846,24
926,1884,31
926,1933,21
926,1950,20
926,2031,2
926,2044,3
926,2133,14
926,2368,8
926,4294,10
926,5133,16
926,5181,32
926,5511,19
926,5724,33
926,5913,5
926,5932,6
926,5943,7
926,5964,11
926,7261,27
926,9123,18
926,9313,22
926,9331,1
926,9344,4
926,9382,23
927,656,34
927,687,24
927,1050,18
927,1406,9
927,1411,20
927,1580,26
927,1585,5
927,1651,1
927,1846,14
927,1884,19
927,1911,10
927,1924,17
927,1933,2
927,1950,11
927,1960,8
927,1965,23
927,1970,4
927,1981,22
927,1986,12
927,2031,28
927,2133,33
927,2368,15
927,3231,6
927,4294,27
927,5511,30
927,5724,31
927,5932,16
927,5964,32
927,7175,29
927,7901,35
927,9123,3
927,9144,21
927,9231,7
927,9253,25
927,9331,13