category_id,sku,sku_type,associated,coursename,meta_title,meta_description,image,small_image,thumbnail,country_of_manufacture,course_id,copyright_year,content_length,course_parts,num_lecture,course_type_code,primary_subject,package_subject,professor_information,guidebook,url_key,price,special_price,status,clearance_flag,media_format,free_streaming,coursedescription,short_description,meta_keyword,product_name,media_gallery,categories,related,upsell,crosssell,digital_transcript_sku,digital_transcript_price,physical_transcript_sku,physical_transcript_price,transcript_price
,PD1052,1,"PD1050,PD1406",Set: How to Become a SuperStar Student & Secrets of Mental M,Set: How to Become a SuperStar Student & Secrets of Mental M,,,,,United States,1052,0,0,3,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: How to Become a SuperStar Student & Secrets of Mental M,,"Courses,Lectures",,,,,0,,0,0
,1052,1,"DV1052,PD1052",Set: How to Become a SuperStar Student & Secrets of Mental M,Set: How to Become a SuperStar Student & Secrets of Mental M,,,,,United States,1052,0,0,3,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: How to Become a SuperStar Student & Secrets of Mental M,,"Courses,Lectures",,,,,0,,0,0
,DV1053,1,"DV1050,DV2044",Set: How to Become a SuperStar Student & Art of Teaching,Set: How to Become a SuperStar Student & Art of Teaching,,,,,United States,1053,0,0,4,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: How to Become a SuperStar Student & Art of Teaching,,"Courses,Lectures",,,,,0,,0,0
,PD1053,1,"PD1050,PD2044",Set: How to Become a SuperStar Student & Art of Teaching,Set: How to Become a SuperStar Student & Art of Teaching,,,,,United States,1053,0,0,4,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: How to Become a SuperStar Student & Art of Teaching,,"Courses,Lectures",,,,,0,,0,0
,1053,1,"DV1053,PD1053",Set: How to Become a SuperStar Student & Art of Teaching,Set: How to Become a SuperStar Student & Art of Teaching,,,,,United States,1053,0,0,4,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: How to Become a SuperStar Student & Art of Teaching,,"Courses,Lectures",,,,,0,,0,0
,PD1054,1,"PD1007,PD1050",Set: How to Become a SuperStar Student & Understanding Calcu,Set: How to Become a SuperStar Student & Understanding Calcu,,,,,United States,1054,0,0,5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: How to Become a SuperStar Student & Understanding Calcu,,"Courses,Lectures",,,,,0,,0,0
,1054,1,PD1054,Set: How to Become a SuperStar Student & Understanding Calcu,Set: How to Become a SuperStar Student & Understanding Calcu,,,,,United States,1054,0,0,5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: How to Become a SuperStar Student & Understanding Calcu,,"Courses,Lectures",,,,,0,,0,0
,PD1055,1,"PD1050,PD2368",Set: How to Become a SuperStar Student & Building Great Sent,Set: How to Become a SuperStar Student & Building Great Sent,,,,,United States,1055,0,0,4,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: How to Become a SuperStar Student & Building Great Sent,,"Courses,Lectures",,,,,0,,0,0
,1055,1,PD1055,Set: How to Become a SuperStar Student & Building Great Sent,Set: How to Become a SuperStar Student & Building Great Sent,,,,,United States,1055,0,0,4,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: How to Become a SuperStar Student & Building Great Sent,,"Courses,Lectures",,,,,0,,0,0
,PD106,1,"PD1012,PD105","Set: Chemistry, 2nd Edition & Geometry","Set: Chemistry, 2nd Edition & Geometry",,,,,United States,106,0,0,6,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,"Set: Chemistry, 2nd Edition & Geometry",,"Courses,Lectures",,,,,0,,0,0
,106,1,PD106,"Set: Chemistry, 2nd Edition & Geometry","Set: Chemistry, 2nd Edition & Geometry",,,,,United States,106,0,0,6,0,0,0,0,,,,0,0,Enabled,No,,No,,,,"Set: Chemistry, 2nd Edition & Geometry",,"Courses,Lectures",,,,,0,,0,0
,DV1071,1,"DV1007,DV1018",Set: Understanding Calculus I and II,Set: Understanding Calculus I and II,,,,,United States,1071,0,0,6,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Understanding Calculus I and II,,"Courses,Lectures",,,,,0,,0,0
,PD1071,1,"PD1007,PD1018",Set: Understanding Calculus I and II,Set: Understanding Calculus I and II,,,,,United States,1071,0,0,6,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Understanding Calculus I and II,,"Courses,Lectures",,,,,0,,0,0
,1071,1,"DV1071,PD1071",Set: Understanding Calculus I and II,Set: Understanding Calculus I and II,,,,,United States,1071,0,0,6,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Understanding Calculus I and II,,"Courses,Lectures",,,,,0,,0,0
,DV1072,1,"DV1018,DV1452",Set: Understanding Calculus II & Mastering Differential Equa,Set: Understanding Calculus II & Mastering Differential Equa,,,,,United States,1072,0,0,5,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Understanding Calculus II & Mastering Differential Equa,,"Courses,Lectures",,,,,0,,0,0
,PD1072,1,"PD1018,PD1452",Set: Understanding Calculus II & Mastering Differential Equa,Set: Understanding Calculus II & Mastering Differential Equa,,,,,United States,1072,0,0,5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Understanding Calculus II & Mastering Differential Equa,,"Courses,Lectures",,,,,0,,0,0
,1072,1,"DV1072,PD1072",Set: Understanding Calculus II & Mastering Differential Equa,Set: Understanding Calculus II & Mastering Differential Equa,,,,,United States,1072,0,0,5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Understanding Calculus II & Mastering Differential Equa,,"Courses,Lectures",,,,,0,,0,0
,DV1073,1,"DV1018,DV1431",Set: Understanding Calculus II & Prove It,Set: Understanding Calculus II & Prove It,,,,,United States,1073,0,0,5,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Understanding Calculus II & Prove It,,"Courses,Lectures",,,,,0,,0,0
,PD1073,1,"PD1018,PD1431",Set: Understanding Calculus II & Prove It,Set: Understanding Calculus II & Prove It,,,,,United States,1073,0,0,5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Understanding Calculus II & Prove It,,"Courses,Lectures",,,,,0,,0,0
,1073,1,"DV1073,PD1073",Set: Understanding Calculus II & Prove It,Set: Understanding Calculus II & Prove It,,,,,United States,1073,0,0,5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Understanding Calculus II & Prove It,,"Courses,Lectures",,,,,0,,0,0
,DV1074,1,"DV1005,DV1018",Set: Calculus II & Mathematics Describing the Real World,Set: Calculus II & Mathematics Describing the Real World,,,,,United States,1074,2013,2160,5,72,0,902,902,,,,0,0,Enabled,No,Video Download,No,,,,Set: Calculus II & Mathematics Describing the Real World,,"Courses,Lectures",,,,,0,,0,0
,PD1074,1,"PD1005,PD1018",Set: Calculus II & Mathematics Describing the Real World,Set: Calculus II & Mathematics Describing the Real World,,,,,United States,1074,2013,2160,5,72,0,902,902,,,,0,0,Enabled,No,DVD,No,,,,Set: Calculus II & Mathematics Describing the Real World,,"Courses,Lectures",,,,,0,,0,0
,1074,1,"DV1074,PD1074",Set: Calculus II & Mathematics Describing the Real World,Set: Calculus II & Mathematics Describing the Real World,,,,,United States,1074,2013,2160,5,72,0,902,902,,,,0,0,Enabled,No,,No,,,,Set: Calculus II & Mathematics Describing the Real World,,"Courses,Lectures",,,,,0,,0,0
,DV1075,1,"DV1002,DV1018",Set: Understanding Calculus II & Algebra II,Set: Understanding Calculus II & Algebra II,,,,,United States,1075,2013,2160,5,72,0,902,902,,,,0,0,Enabled,No,Video Download,No,,,,Set: Understanding Calculus II & Algebra II,,"Courses,Lectures",,,,,0,,0,0
,PD1075,1,"PD1002,PD1018",Set: Understanding Calculus II & Algebra II,Set: Understanding Calculus II & Algebra II,,,,,United States,1075,2013,2160,5,72,0,902,902,,,,0,0,Enabled,No,DVD,No,,,,Set: Understanding Calculus II & Algebra II,,"Courses,Lectures",,,,,0,,0,0
,1075,1,"DV1075,PD1075",Set: Understanding Calculus II & Algebra II,Set: Understanding Calculus II & Algebra II,,,,,United States,1075,2013,2160,5,72,0,902,902,,,,0,0,Enabled,No,,No,,,,Set: Understanding Calculus II & Algebra II,,"Courses,Lectures",,,,,0,,0,0
,DV1081,1,"DV1001,DV1014",Set: Mastering the Fundamentals of Math & Algebra I,Set: Mastering the Fundamentals of Math & Algebra I,,,,,United States,1081,0,0,5,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Mastering the Fundamentals of Math & Algebra I,,"Courses,Lectures",,,,,0,,0,0
,PD1081,1,"PD1001,PD1014",Set: Mastering the Fundamentals of Math & Algebra I,Set: Mastering the Fundamentals of Math & Algebra I,,,,,United States,1081,0,0,5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Mastering the Fundamentals of Math & Algebra I,,"Courses,Lectures",,,,,0,,0,0
,1081,1,"DV1081,PD1081",Set: Mastering the Fundamentals of Math & Algebra I,Set: Mastering the Fundamentals of Math & Algebra I,,,,,United States,1081,0,0,5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Mastering the Fundamentals of Math & Algebra I,,"Courses,Lectures",,,,,0,,0,0
,DV1082,1,"DV1014,DV1406",Set: Mastering the Fundamentals of Math & Secrets of Mental,Set: Mastering the Fundamentals of Math & Secrets of Mental,,,,,United States,1082,0,0,3,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Mastering the Fundamentals of Math & Secrets of Mental,,"Courses,Lectures",,,,,0,,0,0
,PD1082,1,"PD1014,PD1406",Set: Mastering the Fundamentals of Math & Secrets of Mental,Set: Mastering the Fundamentals of Math & Secrets of Mental,,,,,United States,1082,0,0,3,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Mastering the Fundamentals of Math & Secrets of Mental,,"Courses,Lectures",,,,,0,,0,0
,1082,1,"DV1082,PD1082",Set: Mastering the Fundamentals of Math & Secrets of Mental,Set: Mastering the Fundamentals of Math & Secrets of Mental,,,,,United States,1082,0,0,3,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Mastering the Fundamentals of Math & Secrets of Mental,,"Courses,Lectures",,,,,0,,0,0
,DV1083,1,"DV1014,DV1050",Set: Mastering the Fundamentals of Math & SuperStar Student,Set: Mastering the Fundamentals of Math & SuperStar Student,,,,,United States,1083,0,0,4,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Mastering the Fundamentals of Math & SuperStar Student,,"Courses,Lectures",,,,,0,,0,0
,PD1083,1,"PD1014,PD1050",Set: Mastering the Fundamentals of Math & SuperStar Student,Set: Mastering the Fundamentals of Math & SuperStar Student,,,,,United States,1083,0,0,4,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Mastering the Fundamentals of Math & SuperStar Student,,"Courses,Lectures",,,,,0,,0,0
,1083,1,"DV1083,PD1083",Set: Mastering the Fundamentals of Math & SuperStar Student,Set: Mastering the Fundamentals of Math & SuperStar Student,,,,,United States,1083,0,0,4,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Mastering the Fundamentals of Math & SuperStar Student,,"Courses,Lectures",,,,,0,,0,0
,DV1084,1,"DV1014,DV1411",Set: Mastering the Fundamentals of Mathematics & The Joy of,Set: Mastering the Fundamentals of Mathematics & The Joy of,,,,,United States,1084,2012,1440,0,48,0,910,910,,,,0,0,Enabled,No,Video Download,No,,,,Set: Mastering the Fundamentals of Mathematics & The Joy of,,"Courses,Lectures",,,,,0,,0,0
,PD1084,1,"PD1014,PD1411",Set: Mastering the Fundamentals of Mathematics & The Joy of,Set: Mastering the Fundamentals of Mathematics & The Joy of,,,,,United States,1084,2012,1440,0,48,0,910,910,,,,0,0,Enabled,No,DVD,No,,,,Set: Mastering the Fundamentals of Mathematics & The Joy of,,"Courses,Lectures",,,,,0,,0,0
,1084,1,"DV1084,PD1084",Set: Mastering the Fundamentals of Mathematics & The Joy of,Set: Mastering the Fundamentals of Mathematics & The Joy of,,,,,United States,1084,2012,1440,0,48,0,910,910,,,,0,0,Enabled,No,,No,,,,Set: Mastering the Fundamentals of Mathematics & The Joy of,,"Courses,Lectures",,,,,0,,0,0
,DV1085,1,"DV1014,DV105",Set: Fundamentals of Math & Geometry,Set: Fundamentals of Math & Geometry,,,,,United States,1085,2012,1800,5,60,0,902,902,,,,0,0,Enabled,No,Video Download,No,,,,Set: Fundamentals of Math & Geometry,,"Courses,Lectures",,,,,0,,0,0
,PD1085,1,"PD1014,PD105",Set: Fundamentals of Math & Geometry,Set: Fundamentals of Math & Geometry,,,,,United States,1085,2012,1800,5,60,0,902,902,,,,0,0,Enabled,No,DVD,No,,,,Set: Fundamentals of Math & Geometry,,"Courses,Lectures",,,,,0,,0,0
,1085,1,"DV1085,PD1085",Set: Fundamentals of Math & Geometry,Set: Fundamentals of Math & Geometry,,,,,United States,1085,2012,1800,5,60,0,902,902,,,,0,0,Enabled,No,,No,,,,Set: Fundamentals of Math & Geometry,,"Courses,Lectures",,,,,0,,0,0
,DV1086,1,"DV1001,DV105",Set: Algebra I & Geometry,Set: Algebra I & Geometry,,,,,United States,1086,0,0,6,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Algebra I & Geometry,,"Courses,Lectures",,,,,0,,0,0
,PD1086,1,"PD1001,PD105",Set: Algebra I & Geometry,Set: Algebra I & Geometry,,,,,United States,1086,0,0,6,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Algebra I & Geometry,,"Courses,Lectures",,,,,0,,0,0
,1086,1,"DV1086,PD1086",Set: Algebra I & Geometry,Set: Algebra I & Geometry,,,,,United States,1086,0,0,6,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Algebra I & Geometry,,"Courses,Lectures",,,,,0,,0,0
,DV1087,1,"DV1050,DV1651",Set: SuperStar Student & Optimizing Brain Fitness,Set: SuperStar Student & Optimizing Brain Fitness,,,,,United States,1087,0,0,2.5,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: SuperStar Student & Optimizing Brain Fitness,,"Courses,Lectures",,,,,0,,0,0
,PD1087,1,"PD1050,PD1651",Set: SuperStar Student & Optimizing Brain Fitness,Set: SuperStar Student & Optimizing Brain Fitness,,,,,United States,1087,0,0,2.5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: SuperStar Student & Optimizing Brain Fitness,,"Courses,Lectures",,,,,0,,0,0
,1087,1,"DV1087,PD1087",Set: SuperStar Student & Optimizing Brain Fitness,Set: SuperStar Student & Optimizing Brain Fitness,,,,,United States,1087,0,0,2.5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: SuperStar Student & Optimizing Brain Fitness,,"Courses,Lectures",,,,,0,,0,0
,DV1089,1,"DV1012,DV1280",Set: Chemistry & Physics and Our Universe,Set: Chemistry & Physics and Our Universe,,,,,United States,1089,0,0,8,96,0,910,910,,,,0,0,Enabled,No,Video Download,No,,,,Set: Chemistry & Physics and Our Universe,,"Courses,Lectures",,,,,0,,0,0
,PD1089,1,"PD1012,PD1280",Set: Chemistry & Physics and Our Universe,Set: Chemistry & Physics and Our Universe,,,,,United States,1089,0,0,8,96,0,910,910,,,,0,0,Enabled,No,DVD,No,,,,Set: Chemistry & Physics and Our Universe,,"Courses,Lectures",,,,,0,,0,0
,1089,1,"DV1089,PD1089",Set: Chemistry & Physics and Our Universe,Set: Chemistry & Physics and Our Universe,,,,,United States,1089,0,0,8,96,0,910,910,,,,0,0,Enabled,No,,No,,,,Set: Chemistry & Physics and Our Universe,,"Courses,Lectures",,,,,0,,0,0
,DV1092,1,"DV1005,DV1007",Set: Mathematics Describing the Real World & Understanding C,Set: Mathematics Describing the Real World & Understanding C,,,,,United States,1092,0,0,6,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Mathematics Describing the Real World & Understanding C,,"Courses,Lectures",,,,,0,,0,0
,PD1092,1,"PD1005,PD1007",Set: Mathematics Describing the Real World & Understanding C,Set: Mathematics Describing the Real World & Understanding C,,,,,United States,1092,0,0,6,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Mathematics Describing the Real World & Understanding C,,"Courses,Lectures",,,,,0,,0,0
